/usr/share/Modules/bin:/lsf/local/bin/:/lsf/10.1/linux3.10-glibc2.17-x86_64/etc:/lsf/10.1/linux3.10-glibc2.17-x86_64/bin:/appl9/latex/TexLive24/bin/x86_64-linux:/appl/Modules/4.8.0/bin:/apps9/dcc/bin:/usr/bin:/bin:/usr/local/bin:/opt/puppetlabs/bin:.
/work3/mtaho/PhD/fenitop/scripts
Start time:
Tue Feb 25 07:48:52 CET 2025
No. of cores = 64
No. of processes = 64
No. of OMP threads = 1
opt_iter: 172, opt_time: 11.1 (s), beta: 8, C: 5.627, V: 0.080, U: 0.000, change: 0.020
opt_iter: 173, opt_time: 11 (s), beta: 8, C: 5.622, V: 0.080, U: 0.000, change: 0.020
opt_iter: 174, opt_time: 11 (s), beta: 8, C: 5.617, V: 0.080, U: 0.000, change: 0.020
opt_iter: 175, opt_time: 10.5 (s), beta: 8, C: 5.613, V: 0.080, U: 0.000, change: 0.020
opt_iter: 176, opt_time: 11 (s), beta: 8, C: 5.609, V: 0.080, U: 0.000, change: 0.020
opt_iter: 177, opt_time: 11 (s), beta: 8, C: 5.604, V: 0.080, U: 0.000, change: 0.020
opt_iter: 178, opt_time: 11.1 (s), beta: 8, C: 5.600, V: 0.080, U: 0.000, change: 0.020
opt_iter: 179, opt_time: 10.5 (s), beta: 8, C: 5.596, V: 0.080, U: 0.000, change: 0.020
opt_iter: 180, opt_time: 11.2 (s), beta: 8, C: 5.593, V: 0.080, U: 0.000, change: 0.020
opt_iter: 181, opt_time: 11.1 (s), beta: 8, C: 5.589, V: 0.080, U: 0.000, change: 0.020
opt_iter: 182, opt_time: 11 (s), beta: 8, C: 5.585, V: 0.080, U: 0.000, change: 0.020
opt_iter: 183, opt_time: 10.5 (s), beta: 8, C: 5.582, V: 0.080, U: 0.000, change: 0.020
opt_iter: 184, opt_time: 11 (s), beta: 8, C: 5.579, V: 0.080, U: 0.000, change: 0.020
opt_iter: 185, opt_time: 11.1 (s), beta: 8, C: 5.575, V: 0.080, U: 0.000, change: 0.020
opt_iter: 186, opt_time: 11.1 (s), beta: 8, C: 5.572, V: 0.080, U: 0.000, change: 0.020
opt_iter: 187, opt_time: 10.5 (s), beta: 8, C: 5.569, V: 0.080, U: 0.000, change: 0.020
opt_iter: 188, opt_time: 11 (s), beta: 8, C: 5.566, V: 0.080, U: 0.000, change: 0.020
opt_iter: 189, opt_time: 11 (s), beta: 8, C: 5.563, V: 0.080, U: 0.000, change: 0.020
opt_iter: 190, opt_time: 11 (s), beta: 8, C: 5.560, V: 0.080, U: 0.000, change: 0.020
opt_iter: 191, opt_time: 10.5 (s), beta: 8, C: 5.558, V: 0.080, U: 0.000, change: 0.020
opt_iter: 192, opt_time: 11.1 (s), beta: 8, C: 5.555, V: 0.080, U: 0.000, change: 0.020
opt_iter: 193, opt_time: 11 (s), beta: 8, C: 5.552, V: 0.080, U: 0.000, change: 0.020
opt_iter: 194, opt_time: 11.1 (s), beta: 8, C: 5.550, V: 0.080, U: 0.000, change: 0.020
opt_iter: 195, opt_time: 10.5 (s), beta: 8, C: 5.547, V: 0.080, U: 0.000, change: 0.020
opt_iter: 196, opt_time: 11 (s), beta: 8, C: 5.545, V: 0.080, U: 0.000, change: 0.020
opt_iter: 197, opt_time: 11 (s), beta: 8, C: 5.543, V: 0.080, U: 0.000, change: 0.020
opt_iter: 198, opt_time: 11.1 (s), beta: 8, C: 5.540, V: 0.080, U: 0.000, change: 0.020
opt_iter: 199, opt_time: 10.6 (s), beta: 8, C: 5.538, V: 0.080, U: 0.000, change: 0.020
opt_iter: 200, opt_time: 11.5 (s), beta: 16, C: 4.199, V: 0.078, U: 0.000, change: 0.020
opt_iter: 201, opt_time: 11.5 (s), beta: 16, C: 4.084, V: 0.080, U: 0.000, change: 0.020
opt_iter: 202, opt_time: 11.4 (s), beta: 16, C: 4.079, V: 0.080, U: 0.000, change: 0.020
opt_iter: 203, opt_time: 11.2 (s), beta: 16, C: 4.075, V: 0.080, U: 0.000, change: 0.020
opt_iter: 204, opt_time: 11.1 (s), beta: 16, C: 4.071, V: 0.080, U: 0.000, change: 0.020
opt_iter: 205, opt_time: 11.5 (s), beta: 16, C: 4.067, V: 0.080, U: 0.000, change: 0.020
opt_iter: 206, opt_time: 11.5 (s), beta: 16, C: 4.064, V: 0.080, U: 0.000, change: 0.020
opt_iter: 207, opt_time: 11.2 (s), beta: 16, C: 4.060, V: 0.080, U: 0.000, change: 0.020
opt_iter: 208, opt_time: 11.2 (s), beta: 16, C: 4.057, V: 0.080, U: 0.000, change: 0.020
opt_iter: 209, opt_time: 11.4 (s), beta: 16, C: 4.054, V: 0.080, U: 0.000, change: 0.020
opt_iter: 210, opt_time: 11.4 (s), beta: 16, C: 4.052, V: 0.080, U: 0.000, change: 0.020
opt_iter: 211, opt_time: 11.1 (s), beta: 16, C: 4.049, V: 0.080, U: 0.000, change: 0.020
opt_iter: 212, opt_time: 11.2 (s), beta: 16, C: 4.046, V: 0.080, U: 0.000, change: 0.020
opt_iter: 213, opt_time: 11.4 (s), beta: 16, C: 4.044, V: 0.080, U: 0.000, change: 0.020
opt_iter: 214, opt_time: 11.4 (s), beta: 16, C: 4.042, V: 0.080, U: 0.000, change: 0.020
opt_iter: 215, opt_time: 11.5 (s), beta: 16, C: 4.039, V: 0.080, U: 0.000, change: 0.020
opt_iter: 216, opt_time: 10.9 (s), beta: 16, C: 4.037, V: 0.080, U: 0.000, change: 0.020
opt_iter: 217, opt_time: 11.5 (s), beta: 16, C: 4.035, V: 0.080, U: 0.000, change: 0.020
opt_iter: 218, opt_time: 11.4 (s), beta: 16, C: 4.033, V: 0.080, U: 0.000, change: 0.020
opt_iter: 219, opt_time: 11.5 (s), beta: 16, C: 4.031, V: 0.080, U: 0.000, change: 0.020
opt_iter: 220, opt_time: 11.1 (s), beta: 16, C: 4.029, V: 0.080, U: 0.000, change: 0.020
opt_iter: 221, opt_time: 11.2 (s), beta: 16, C: 4.027, V: 0.080, U: 0.000, change: 0.020
opt_iter: 222, opt_time: 11.4 (s), beta: 16, C: 4.025, V: 0.080, U: 0.000, change: 0.020
opt_iter: 223, opt_time: 11.5 (s), beta: 16, C: 4.023, V: 0.080, U: 0.000, change: 0.020
opt_iter: 224, opt_time: 11.1 (s), beta: 16, C: 4.021, V: 0.080, U: 0.000, change: 0.020
opt_iter: 225, opt_time: 11.5 (s), beta: 16, C: 4.019, V: 0.080, U: 0.000, change: 0.020
opt_iter: 226, opt_time: 11.1 (s), beta: 16, C: 4.018, V: 0.080, U: 0.000, change: 0.020
opt_iter: 227, opt_time: 11.4 (s), beta: 16, C: 4.016, V: 0.080, U: 0.000, change: 0.020
opt_iter: 228, opt_time: 11.2 (s), beta: 16, C: 4.014, V: 0.080, U: 0.000, change: 0.020
